,id,probability,answers,pred,label,Entry,Protein names,UniProtKB,geneName
30,ENSP00000256010,0.9999999999998508,0.0,1.0,1.0,P30990,Neurotensin/neuromedin N [Cleaved into: Large neuromedin N (NmN-125); Neuromedin N (NN) (NmN); Neurotensin (NT); Tail peptide],P30990,NTS
31,ENSP00000365651,0.9999999999998437,0.0,1.0,1.0,P16860,Natriuretic peptides B (Brain natriuretic factor prohormone) (preproBNP) (proBNP) (Gamma-brain natriuretic peptide) (Iso-ANP) [Cleaved into: NT-proBNP (NT-pro-BNP) (NT-proBNP(1-76)); proBNP(3-108); Brain natriuretic peptide 32 (BNP(1-32)) (BNP-32) (Brain natriuretic peptide) (BNP); BNP(1-30); BNP(1-29); BNP(1-28); BNP(2-31); BNP(3-32) (des-SerPro-BNP) (proBNP(79-108)); BNP(3-30); BNP(3-29); Brain natriuretic peptide 29 (BNP(4-32)); BNP(4-31); BNP(4-30); BNP(4-29); BNP(4-27); BNP(5-32); BNP(5-31); BNP(5-29)],P16860,NPPB
32,ENSP00000384092,0.9999999999998437,0.0,1.0,1.0,P01189,Pro-opiomelanocortin (POMC) (Corticotropin-lipotropin) [Cleaved into: NPP; Melanotropin gamma (Gamma-MSH); Potential peptide; Corticotropin (Adrenocorticotropic hormone) (ACTH); Melanocyte-stimulating hormone alpha (Alpha-MSH) (Melanotropin alpha); Corticotropin-like intermediary peptide (CLIP); Lipotropin beta (Beta-LPH); Lipotropin gamma (Gamma-LPH); Melanocyte-stimulating hormone beta (Beta-MSH) (Melanotropin beta); Beta-endorphin; Met-enkephalin],P01189,POMC
33,ENSP00000378118,0.9999999999998437,0.0,1.0,1.0,P80075,C-C motif chemokine 8 (HC14) (Monocyte chemoattractant protein 2) (Monocyte chemotactic protein 2) (MCP-2) (Small-inducible cytokine A8) [Cleaved into: MCP-2(6-76)],P80075,CCL8
34,ENSP00000480012,0.9999999999998437,1.0,1.0,1.0,P29274,Adenosine receptor A2a,P29274,ADORA2A
35,ENSP00000473159,0.9999999999998153,0.0,1.0,1.0,O15552,Free fatty acid receptor 2 (G-protein coupled receptor 43),O15552,FFAR2
36,ENSP00000366248,0.9999999999998153,0.0,1.0,1.0,O00230,Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17],O00230,CORT
37,ENSP00000368683,0.9999999999997726,0.0,1.0,1.0,P05305,Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1],P05305,EDN1
38,ENSP00000299178,0.9999999999997726,1.0,1.0,1.0,P37288,Vasopressin V1a receptor (V1aR) (AVPR V1a) (Antidiuretic hormone receptor 1a) (Vascular/hepatic-type arginine vasopressin receptor),P37288,AVPR1A
39,ENSP00000273610,0.9999999999997442,0.0,1.0,1.0,Q96RP3,Urocortin-2 (Stresscopin-related peptide) (Urocortin II) (Ucn II) (Urocortin-related peptide),Q96RP3,UCN2
40,ENSP00000303211,0.99999999999973,1.0,1.0,1.0,P22303,Acetylcholinesterase (AChE) (EC 3.1.1.7),P22303,ACHE
41,ENSP00000442424,0.9999999999997016,0.0,1.0,1.0,Q9GZX6,Interleukin-22 (IL-22) (Cytokine Zcyto18) (IL-10-related T-cell-derived-inducible factor) (IL-TIF),Q9GZX6,IL22
42,ENSP00000436607,0.9999999999996874,0.0,1.0,1.0,P35318,Pro-adrenomedullin [Cleaved into: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM N-terminal 20 peptide) (PAMP) (ProAM-N20)],P35318,ADM
43,ENSP00000330393,0.9999999999996732,1.0,1.0,1.0,P48357,Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295),P48357,LEPR
44,ENSP00000312673,0.9999999999996234,0.0,1.0,1.0,P01241,Somatotropin (Growth hormone) (GH) (GH-N) (Growth hormone 1) (Pituitary growth hormone),P01241,GH1
45,ENSP00000265643,0.9999999999996092,0.0,1.0,1.0,P22466,Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide (GMAP)],P22466,GAL
46,ENSP00000261707,0.999999999999531,1.0,1.0,1.0,P31645,Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4),P31645,SLC6A4
47,ENSP00000290953,0.9999999999994742,0.0,1.0,1.0,O00253,Agouti-related protein,O00253,AGRP
48,ENSP00000328230,0.9999999999994031,0.0,1.0,1.0,O14843,Free fatty acid receptor 3 (G-protein coupled receptor 41),O14843,FFAR3
49,ENSP00000255030,0.9999999999992042,0.0,1.0,1.0,P02741,C-reactive protein [Cleaved into: C-reactive protein(1-205)],P02741,CRP
50,ENSP00000363748,0.9999999999990621,1.0,1.0,1.0,P28221,5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D),P28221,HTR1D
51,ENSP00000362353,0.9999999999990195,1.0,1.0,1.0,P43220,Glucagon-like peptide 1 receptor (GLP-1 receptor) (GLP-1-R) (GLP-1R),P43220,GLP1R
52,ENSP00000397863,0.9999999999989484,0.0,1.0,1.0,Q6ZMJ4,Interleukin-34 (IL-34),Q6ZMJ4,IL34
53,ENSP00000340684,0.99999999999892,1.0,1.0,1.0,P21397,Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A),P21397,MAOA
54,ENSP00000225831,0.99999999999892,0.0,1.0,1.0,P13500,C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2),P13500,CCL2
55,ENSP00000274520,0.9999999999988418,0.0,1.0,1.0,P15248,Interleukin-9 (IL-9) (Cytokine P40) (T-cell growth factor P40),P15248,IL9
56,ENSP00000165524,0.9999999999988276,0.0,1.0,1.0,P81277,Prolactin-releasing peptide (PrRP) (Prolactin-releasing hormone) [Cleaved into: Prolactin-releasing peptide PrRP31; Prolactin-releasing peptide PrRP20],P81277,PRLH
57,ENSP00000362716,0.9999999999988134,0.0,1.0,1.0,P01286,Somatoliberin (Growth hormone-releasing factor) (GRF) (Growth hormone-releasing hormone) (GHRH) (Somatocrinin) (Somatorelin) (Sermorelin),P01286,GHRH
58,ENSP00000347754,0.9999999999987637,1.0,1.0,1.0,P46098,5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor),P46098,HTR3A
59,ENSP00000307259,0.9999999999987494,1.0,1.0,1.0,Q9H244,P2Y purinoceptor 12 (P2Y12) (ADP-glucose receptor) (ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (SP1999),Q9H244,P2RY12
60,ENSP00000370571,0.9999999999984226,1.0,1.0,1.0,P07101,Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH),P07101,TH
61,ENSP00000308541,0.9999999999983658,1.0,1.0,1.0,P00734,Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain],P00734,F2
62,ENSP00000252723,0.9999999999982805,0.0,1.0,1.0,P01588,Erythropoietin (Epoetin),P01588,EPO
63,ENSP00000324648,0.9999999999981242,0.0,1.0,1.0,P20813,"Cytochrome P450 2B6 (EC 1.14.13.-) (1,4-cineole 2-exo-monooxygenase) (CYPIIB6) (Cytochrome P450 IIB1)",P20813,CYP2B6
64,ENSP00000350005,0.9999999999980176,0.0,1.0,1.0,P09681,Gastric inhibitory polypeptide (GIP) (Glucose-dependent insulinotropic polypeptide) (Incretin hormone),P09681,GIP
65,ENSP00000436714,0.9999999999980105,0.0,1.0,1.0,P49019,Hydroxycarboxylic acid receptor 3 (G-protein coupled receptor 109B) (G-protein coupled receptor HM74) (G-protein coupled receptor HM74B) (Niacin receptor 2) (Nicotinic acid receptor 2),P49019,HCAR3
66,ENSP00000395704,0.9999999999977902,0.0,1.0,1.0,O00574,C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186),O00574,CXCR6
67,ENSP00000270349,0.9999999999977689,1.0,1.0,1.0,Q01959,Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3),Q01959,SLC6A3
68,ENSP00000296027,0.9999999999976978,0.0,1.0,1.0,P42830,C-X-C motif chemokine 5 (ENA-78(1-78)) (Epithelial-derived neutrophil-activating protein 78) (Neutrophil-activating peptide ENA-78) (Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78)],P42830,CXCL5
69,ENSP00000334145,0.9999999999972289,1.0,1.0,1.0,P13726,Tissue factor (TF) (Coagulation factor III) (Thromboplastin) (CD antigen CD142),P13726,F3
70,ENSP00000006053,0.9999999999968594,0.0,1.0,1.0,P78423,Fractalkine (C-X3-C motif chemokine 1) (CX3C membrane-anchored chemokine) (Neurotactin) (Small-inducible cytokine D1) [Cleaved into: Processed fractalkine],P78423,CX3CL1
71,ENSP00000293778,0.9999999999968452,0.0,1.0,1.0,Q9H2A7,C-X-C motif chemokine 16 (Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein) (SR-PSOX) (Small-inducible cytokine B16) (Transmembrane chemokine CXCL16),Q9H2A7,CXCL16
72,ENSP00000287641,0.9999999999959783,1.0,1.0,1.0,P61278,Somatostatin (Growth hormone release-inhibiting factor) [Cleaved into: Somatostatin-28; Somatostatin-14 (SST-14); Neuronostatin (NST)],P61278,SST
73,ENSP00000387662,0.9999999999958931,0.0,1.0,1.0,P01275,Pro-glucagon [Cleaved into: Glicentin; Glicentin-related polypeptide (GRPP); Oxyntomodulin (OXM) (OXY); Glucagon; Glucagon-like peptide 1 (GLP-1) (Incretin hormone); Glucagon-like peptide 1(7-37) (GLP-1(7-37)); Glucagon-like peptide 1(7-36) (GLP-1(7-36)); Glucagon-like peptide 2 (GLP-2)],P01275,GCG
74,ENSP00000416996,0.9999999999956231,0.0,1.0,1.0,O00590,Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6),O00590,ACKR2
75,ENSP00000430950,0.9999999999955094,1.0,1.0,1.0,P14902,"Indoleamine 2,3-dioxygenase 1 (IDO-1) (EC 1.13.11.52) (Indoleamine-pyrrole 2,3-dioxygenase)",P14902,IDO1
76,ENSP00000357470,0.999999999995353,1.0,1.0,1.0,P08887,Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha (sIL6R)],P08887,IL6R
77,ENSP00000349365,0.9999999999949409,0.0,1.0,1.0,Q8NEV9,Interleukin-27 subunit alpha (IL-27 subunit alpha) (IL-27-A) (IL27-A) (Interleukin-30) (p28),Q8NEV9,IL27
78,ENSP00000358513,0.9999999999948272,1.0,1.0,1.0,P21554,Cannabinoid receptor 1 (CB-R) (CB1) (CANN6),P21554,CNR1
79,ENSP00000377353,0.999999999994678,1.0,1.0,1.0,P21728,D(1A) dopamine receptor (Dopamine D1 receptor),P21728,DRD1
80,ENSP00000308815,0.9999999999946567,0.0,1.0,1.0,Q99731,C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19),Q99731,CCL19
81,ENSP00000418532,0.9999999999945821,0.0,1.0,1.0,P35503,UDP-glucuronosyltransferase 1A3 (UGT1A3) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-3) (UDPGT 1-3) (UGT1*3) (UGT1-03) (UGT1.3) (UDP-glucuronosyltransferase 1-C) (UGT-1C) (UGT1C) (UDP-glucuronosyltransferase 1A isoform 3),P35503,UGT1A3
82,ENSP00000264218,0.9999999999944009,0.0,1.0,1.0,P48645,Neuromedin-U [Cleaved into: Neuromedin precursor-related peptide 36 (NURP36); Neuromedin precursor-related peptide 33 (NURP33); Neuromedin-U-25 (NmU-25)],P48645,NMU
83,ENSP00000302234,0.9999999999943299,0.0,1.0,1.0,P51671,Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11),P51671,CCL11
84,ENSP00000412237,0.999999999993463,0.0,1.0,1.0,P22301,Interleukin-10 (IL-10) (Cytokine synthesis inhibitory factor) (CSIF),P22301,IL10
85,ENSP00000448219,0.9999999999934488,0.0,1.0,1.0,P59533,Taste receptor type 2 member 38 (T2R38) (PTC bitter taste receptor) (Taste receptor type 2 member 61) (T2R61),P59533,TAS2R38
86,ENSP00000263341,0.999999999993392,1.0,1.0,1.0,P01584,Interleukin-1 beta (IL-1 beta) (Catabolin),P01584,IL1B
87,ENSP00000329991,0.9999999999930154,0.0,1.0,1.0,Q8IU54,Interferon lambda-1 (IFN-lambda-1) (Cytokine Zcyto21) (Interleukin-29) (IL-29),Q8IU54,IFNL1
88,ENSP00000260682,0.9999999999916014,1.0,1.0,1.0,P11712,Cytochrome P450 2C9 (EC 1.14.14.1) ((R)-limonene 6-monooxygenase) (EC 1.14.14.53) ((S)-limonene 6-monooxygenase) (EC 1.14.14.51) ((S)-limonene 7-monooxygenase) (EC 1.14.14.52) (CYPIIC9) (Cholesterol 25-hydroxylase) (Cytochrome P-450MP) (Cytochrome P450 MP-4) (Cytochrome P450 MP-8) (Cytochrome P450 PB-1) (S-mephenytoin 4-hydroxylase),P11712,CYP2C9
89,ENSP00000304915,0.9999999999915019,1.0,1.0,1.0,P35225,Interleukin-13 (IL-13),P35225,IL13
90,ENSP00000225474,0.9999999999912603,1.0,1.0,1.0,P09919,Granulocyte colony-stimulating factor (G-CSF) (Pluripoietin) (Filgrastim) (Lenograstim),P09919,CSF3
91,ENSP00000351671,0.9999999999906066,0.0,1.0,1.0,P78556,C-C motif chemokine 20 (Beta-chemokine exodus-1) (CC chemokine LARC) (Liver and activation-regulated chemokine) (Macrophage inflammatory protein 3 alpha) (MIP-3-alpha) (Small-inducible cytokine A20) [Cleaved into: CCL20(1-67); CCL20(1-64); CCL20(2-70)],P78556,CCL20
92,ENSP00000333157,0.999999999990024,0.0,1.0,1.0,P01242,Growth hormone variant (GH-V) (Growth hormone 2) (Placenta-specific growth hormone),P01242,GH2
93,ENSP00000354859,0.9999999999896545,1.0,1.0,1.0,P14416,D(2) dopamine receptor (Dopamine D2 receptor),P14416,DRD2
94,ENSP00000303452,0.9999999999896403,0.0,1.0,1.0,P20396,Pro-thyrotropin-releasing hormone (Pro-TRH) (Prothyroliberin) [Cleaved into: Thyrotropin-releasing hormone (TRH) (Protirelin) (TSH-releasing factor) (Thyroliberin) (Thyrotropin-releasing factor) (TRF)],P20396,TRH
95,ENSP00000240652,0.9999999999896119,0.0,1.0,1.0,P10997,Islet amyloid polypeptide (Amylin) (Diabetes-associated peptide) (DAP) (Insulinoma amyloid peptide),P10997,IAPP
96,ENSP00000432218,0.9999999999895834,0.0,1.0,1.0,P24001,Interleukin-32 (IL-32) (Natural killer cells protein 4) (Tumor necrosis factor alpha-inducing factor),P24001,IL32
97,ENSP00000458832,0.999999999989349,0.0,1.0,1.0,P16050,"Polyunsaturated fatty acid lipoxygenase ALOX15 (12/15-lipoxygenase) (Arachidonate 12-lipoxygenase, leukocyte-type) (12-LOX) (EC 1.13.11.31) (Arachidonate 15-lipoxygenase) (15-LOX) (15-LOX-1) (EC 1.13.11.33) (Arachidonate omega-6 lipoxygenase) (Hepoxilin A3 synthase Alox15) (EC 1.13.11.-) (Linoleate 13S-lipoxygenase) (EC 1.13.11.12)",P16050,ALOX15
98,ENSP00000409000,0.9999999999883116,0.0,1.0,1.0,Q8IZI9,Interferon lambda-3 (IFN-lambda-3) (Cytokine Zcyto22) (Interleukin-28B) (IL-28B) (Interleukin-28C) (IL-28C),Q8IZI9,IFNL3
99,ENSP00000394624,0.9999999999874802,1.0,1.0,1.0,P35372,Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP),P35372,OPRM1
100,ENSP00000362513,0.9999999999872067,0.0,1.0,1.0,P35504,UDP-glucuronosyltransferase 1A5 (UGT1A5) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-5) (UDPGT 1-5) (UGT1*5) (UGT1-05) (UGT1.5) (UDP-glucuronosyltransferase 1-E) (UGT-1E) (UGT1E),P35504,UGT1A5
101,ENSP00000324270,0.9999999999862865,1.0,1.0,1.0,P30559,Oxytocin receptor (OT-R),P30559,OXTR
102,ENSP00000385026,0.9999999999859313,1.0,1.0,1.0,Q15822,Neuronal acetylcholine receptor subunit alpha-2,Q15822,CHRNA2
103,ENSP00000385675,0.9999999999820659,1.0,1.0,1.0,P05231,Interleukin-6 (IL-6) (B-cell stimulatory factor 2) (BSF-2) (CTL differentiation factor) (CDF) (Hybridoma growth factor) (Interferon beta-2) (IFN-beta-2),P05231,IL6
104,ENSP00000310305,0.999999999981739,0.0,1.0,1.0,P41231,P2Y purinoceptor 2 (P2Y2) (ATP receptor) (P2U purinoceptor 1) (P2U1) (P2U receptor 1) (Purinergic receptor),P41231,P2RY2
105,ENSP00000427279,0.9999999999807727,0.0,1.0,1.0,P19875,C-X-C motif chemokine 2 (Growth-regulated protein beta) (Gro-beta) (Macrophage inflammatory protein 2-alpha) (MIP2-alpha) [Cleaved into: GRO-beta(5-73) (GRO-beta-T) (Hematopoietic synergistic factor) (HSF) (SB-251353)],P19875,CXCL2
106,ENSP00000276198,0.9999999999802753,1.0,1.0,1.0,P28335,5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C),P28335,HTR2C
107,ENSP00000276414,0.9999999999786695,1.0,1.0,1.0,P01148,Progonadoliberin-1 (Progonadoliberin I) [Cleaved into: Gonadoliberin-1 (Gonadoliberin I) (Gonadorelin) (Gonadotropin-releasing hormone I) (GnRH-I) (Luliberin I) (Luteinizing hormone-releasing hormone I) (LH-RH I); GnRH-associated peptide 1 (GnRH-associated peptide I)],P01148,GNRH1
108,ENSP00000258400,0.9999999999783569,1.0,1.0,1.0,P41595,5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B),P41595,HTR2B
109,ENSP00000228534,0.9999999999778737,1.0,1.0,1.0,Q9NPF7,Interleukin-23 subunit alpha (IL-23 subunit alpha) (IL-23-A) (Interleukin-23 subunit p19) (IL-23p19),Q9NPF7,IL23A
110,ENSP00000266088,0.9999999999771205,0.0,1.0,1.0,P13866,Sodium/glucose cotransporter 1 (Na(+)/glucose cotransporter 1) (High affinity sodium-glucose cotransporter) (Solute carrier family 5 member 1),P13866,SLC5A1
111,ENSP00000360538,0.9999999999752376,0.0,1.0,1.0,Q5NUL3,Free fatty acid receptor 4 (G-protein coupled receptor 120) (G-protein coupled receptor 129) (G-protein coupled receptor GT01) (G-protein coupled receptor PGR4) (Omega-3 fatty acid receptor 1),Q5NUL3,FFAR4
112,ENSP00000376893,0.9999999999745057,0.0,1.0,1.0,Q8WWZ1,Interleukin-1 family member 10 (IL-1F10) (Family of interleukin 1-theta) (FIL1 theta) (Interleukin-1 HY2) (IL-1HY2) (Interleukin-1 theta) (IL-1 theta) (Interleukin-38) (IL-38),Q8WWZ1,IL1F10
113,ENSP00000276218,0.9999999999738307,1.0,1.0,1.0,Q8TDV5,Glucose-dependent insulinotropic receptor (G-protein coupled receptor 119),Q8TDV5,GPR119
114,ENSP00000353731,0.999999999973511,1.0,1.0,1.0,P27487,Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)],P27487,DPP4
115,ENSP00000259631,0.9999999999727862,0.0,1.0,1.0,Q9Y4X3,C-C motif chemokine 27 (CC chemokine ILC) (Cutaneous T-cell-attracting chemokine) (CTACK) (ESkine) (IL-11 R-alpha-locus chemokine) (Skinkine) (Small-inducible cytokine A27),Q9Y4X3,CCL27
116,ENSP00000305651,0.9999999999727649,0.0,1.0,1.0,P02778,C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73)],P02778,CXCL10
117,ENSP00000294728,0.9999999999713793,0.0,1.0,1.0,P19320,Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (INCAM-100) (CD antigen CD106),P19320,VCAM1
118,ENSP00000231454,0.9999999999706404,1.0,1.0,1.0,P05113,Interleukin-5 (IL-5) (B-cell differentiation factor I) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF),P05113,IL5
